symbol,date,year,Stock Price,Number of Shares,Market Capitalization,- Cash & Cash Equivalents,+ Total Debt,Enterprise Value
UAA,2010-12-31,2010,7.47,0.0,0.0,203870000.0,15942000.0,-187928000.0
UAA,2009-12-31,2009,3.18,4.01343632E8,1276272749.76,187297000.0,20223000.0,1109198749.76
GTN,2013-12-31,2013,12.15,5.763E7,700204500.0,13478000.0,842874000.0,1529600500.0
GTN,2012-12-31,2012,2.1,5.717E7,120057000.0,11067000.0,1367867000.0,1476857000.0
GTN,2011-12-31,2011,1.68,0.0,0.0,0.0,0.0,0.0
GTN,2010-12-31,2010,1.94,5.7139333E7,110850306.02,5431000.0,826704000.0,932123306.02
GTN,2009-12-31,2009,1.1,4.8624542E7,53486996.2,16000000.0,791809000.0,829295996.2
KAR,2013-12-31,2013,10.54,1.379E8,1453466000.0,191600000.0,1767200000.0,3029066000.0
KAR,2012-12-31,2012,7.99,1.365E8,1090635000.0,108700000.0,1818300000.0,2800235000.0
KAR,2011-12-31,2011,5.36,0.0,0.0,97400000.0,1902800000.0,1805400000.0
KAR,2010-12-31,2010,5.55,1.35342344E8,751150009.1999999,127700000.0,1875700000.0,2499150009.2
KAR,2009-12-31,2009,5.25,1.0685366E8,560981715.0,373200000.0,2272900000.0,2460681715.0
DKS,2013-02-02,2013,46.97,1.21629E8,5712914130.0,345214000.0,16275000.0,5383975130.0
DKS,2012-01-28,2012,37.18,1.20232E8,4470225760.0,734402000.0,159022000.0,3894845760.0
DKS,2011-01-29,2011,37.81,0.0,0.0,0.0,0.0,0.0
DKS,2010-01-30,2010,24.87,1.14598554E8,2850066037.98,225611000.0,142243000.0,2766698037.98
GPK,2013-12-31,2013,9.48,3.473E8,3292404000.0,52200000.0,2253600000.0,5493804000.0
GPK,2012-12-31,2012,6.95,3.934E8,2734130000.0,51500000.0,2333300000.0,5015930000.0
GPK,2011-12-31,2011,4.99,3.763E8,1877737000.0,271800000.0,2365800000.0,3971737000.0
GPK,2010-12-31,2010,4.65,3.43627679E8,1597868707.3500001,138700000.0,2579100000.0,4038268707.3500004
GPK,2009-12-31,2009,3.38,3.4324525E8,1160168945.0,149800000.0,2800200000.0,3810568945.0
TJX,2013-02-02,2013,22.6,7.33588E8,16579088800.000002,1811957000.0,1355876000.0,16123007800.000002
TJX,2012-01-28,2012,18.37,7.61109E8,13981572330.0,1507112000.0,777446000.0,13251906330.0
TJX,2011-01-29,2011,12.47,0.0,0.0,0.0,774400000.0,774400000.0
TJX,2010-01-30,2010,10.42,0.0,0.0,0.0,0.0,0.0
KSS,2013-02-02,2013,42.35,2.35E8,9952250000.0,537000000.0,2597000000.0,12012250000.0
KSS,2012-01-28,2012,49.84,2.53430813E8,12630991719.92,1205000000.0,4636000000.0,16061991719.92
KSS,2011-01-29,2011,54.55,3.04E8,16583200000.0,0.0,0.0,16583200000.0
KSS,2010-01-30,2010,53.93,0.0,0.0,2267000000.0,2068000000.0,-199000000.0
DRI,2013-05-26,2013,43.86,1.29E8,5657940000.0,88200000.0,2496200000.0,8065940000.0
DRI,2012-05-27,2012,44.72,1.301E8,5818072000.0,70500000.0,1803600000.0,7551172000.0
DRI,2011-05-29,2011,44.02,1.368E8,6021936000.0,70500000.0,1592800000.0,7544236000.0
DRI,2010-05-30,2010,34.84,1.393E8,4853212000.0,248800000.0,1633700000.0,6238112000.0
DRI,2009-05-31,2009,29.48,1.374E8,4050552000.0,62900000.0,1841200000.0,5828852000.0
VFC,2013-12-28,2013,55.22,4.38657E8,24222639540.0,776403000.0,1431996000.0,24878232540.0
VFC,2012-12-29,2012,38.09,1.09823E8,4183158070.0000005,597461000.0,1832039000.0,5417736070.0
VFC,2011-12-31,2011,32.5,1.09287E8,3551827500.0,341228000.0,1834525000.0,5045124500.0
VFC,2010-12-28,2010,19.62,1.08764E8,2133949680.0,792239000.0,903486000.0,2245196680.0
VFC,2009-12-28,2009,17.12,0.0,0.0,0.0,0.0,0.0
BLL,2013-12-31,2013,25.8,1.45943E8,3765329400.0,416000000.0,3447200000.0,6796529400.0
BLL,2012-12-31,2012,22.97,1.54648E8,3552264560.0,174100000.0,3326000000.0,6704164560.0
BLL,2011-12-31,2011,19.59,1.65275E8,3237737250.0,165800000.0,3009800000.0,6081737250.0
BLL,2010-12-31,2010,17.73,180746.0,3204626.58,152000000.0,2956400000.0,2807604626.58
BLL,2009-12-31,2009,12.7,3.76412604E8,4780440070.8,210600000.0,2596200000.0,7166040070.8
ODP,2013-12-28,2013,4.86,3.18E8,1545480000.0,955000000.0,725000000.0,1315480000.0
ODP,2012-12-29,2012,4.43,2.79727E8,1239190610.0,670811000.0,659479000.0,1227858610.0
ODP,2011-12-31,2011,2.78,2.77918E8,772612040.0,570681000.0,684714000.0,886645040.0
ODP,2010-12-25,2010,5.59,0.0,0.0,627478000.0,732188000.0,104710000.0
ODP,2009-12-26,2009,5.99,2.74719322E8,1645568738.78,659898000.0,722585000.0,1708255738.78
TOL,2013-10-31,2013,32.5,1.69288E8,5501860000.0,772972000.0,107222000.0,4836110000.0
TOL,2012-10-31,2012,33.18,1.67346E8,5552540280.0,778824000.0,99817000.0,4873533280.0
TOL,2011-10-31,2011,13.75,1.6714E8,2298175000.0,906340000.0,219756000.0,1611591000.0
TOL,2010-10-31,2010,18.84,0.0,0.0,0.0,0.0,0.0
TOL,2009-10-31,2009,18.85,1.61315E8,3040787750.0,1807718000.0,0.0,1233069750.0
GME,2013-02-02,2013,24.36,1.264E8,3079104000.0,635800000.0,0.0,2443304000.0
GME,2012-01-28,2012,24.35,1.399E8,3406565000.0,655000000.0,0.0,2751565000.0
GME,2011-01-29,2011,22.95,0.0,0.0,0.0,0.0,0.0
GME,2010-01-30,2010,21.94,0.0,0.0,0.0,0.0,0.0
LB,2013-02-02,2013,45.01,2.9E8,13052900000.0,773000000.0,4477000000.0,16756900000.0
LB,2012-01-28,2012,46.86,3.04E8,14245440000.0,935000000.0,3538000000.0,16848440000.0
LB,2011-01-29,2011,32.02,3.23E8,10342460000.000002,1130000000.0,2507000000.0,11719460000.000002
LB,2010-01-30,2010,22.53,0.0,0.0,1804000000.0,2723000000.0,919000000.0
TIF,2013-01-31,2013,58.93,1.26737E8,7468611410.0,504838000.0,959272000.0,7923045410.0
TIF,2012-01-31,2012,66.48,0.0,0.0,0.0,0.0,0.0
TIF,2011-01-31,2011,61.78,0.0,0.0,0.0,0.0,0.0
TIF,2010-01-31,2010,43.99,1.2445085E8,5474592891.5,785702000.0,754049000.0,5442939891.5
NCLH,2013-12-31,2013,34.12,2.02993839E8,6926149786.679999,56467000.0,3127789000.0,9997471786.68
NCLH,2012-12-31,2012,24.79,2.0046808E8,4969603703.2,45500000.0,2985353000.0,7909456703.2
WEN,2013-12-29,2013,8.94,3.92585E8,3509709900.0,580152000.0,1463828000.0,4393385900.0
WEN,2012-01-01,2012,4.69,4.05224E8,1900500560.0000002,475231000.0,1356999000.0,2782268560.0
WEN,2011-01-02,2011,4.99,0.0,0.0,512508000.0,1572402000.0,1059894000.0
WEN,2010-01-03,2010,4.64,4.63003194E8,2148334820.16,591719000.0,1500784000.0,3057399820.16
GPS,2013-02-02,2013,32.09,4.82E8,15467380000.000002,1460000000.0,1246000000.0,15253380000.000002
GPS,2012-01-28,2012,18.82,5.29E8,9955780000.0,1885000000.0,1665000000.0,9735780000.0
GPS,2011-01-29,2011,22.46,6.36E8,14284560000.0,1561000000.0,642000000.0,13365560000.0
GPS,2010-01-30,2010,20.95,6.94E8,14539300000.0,2348000000.0,0.0,12191300000.0
MGA,2013-12-31,2013,40.12,4.66308566E8,18708299667.92,1554000000.0,373000000.0,17527299667.92
MGA,2012-12-31,2012,22.86,4.66635584E8,10667289450.24,1522000000.0,432000000.0,9577289450.24
MGA,2011-12-31,2011,17.58,4.85543578E8,8535856101.239999,1325000000.0,233000000.0,7443856101.239999
MGA,2010-12-31,2010,24.97,4.5063944E8,11252466816.8,1881000000.0,86000000.0,9457466816.8
MGA,2009-12-31,2009,12.31,4.50423552E8,5544713925.12,1334000000.0,179000000.0,4389713925.12
AEO,2013-02-02,2013,20.4,1.96211E8,4002704399.9999995,509119000.0,86199000.0,3579784399.9999995
AEO,2012-01-28,2012,15.31,1.94445E8,2976952950.0,719545000.0,93781000.0,2351188950.0
AEO,2011-01-29,2011,14.77,0.0,0.0,0.0,0.0,0.0
AEO,2010-01-30,2010,16.98,2.07772852E8,3527983026.96,693960000.0,30000000.0,2864023026.96
NWS,2013-06-01,2013,14.87,0.0,0.0,2381000000.0,0.0,-2381000000.0
IP,2013-12-31,2013,46.14,4.433E8,20453862000.0,1802000000.0,9488000000.0,28139862000.0
IP,2012-12-31,2012,36.3,4.352E8,15797759999.999998,1302000000.0,10140000000.0,24635760000.0
IP,2011-12-31,2011,27.44,4.322E8,11859568000.0,3994000000.0,9908000000.0,17773568000.0
IP,2010-12-31,2010,25.14,4.298E8,10805172000.0,2073000000.0,8671000000.0,17403172000.0
